u1	y1
0.01000	750.71243	
0.01000	748.89756	
0.01000	752.72227	
0.01000	750.43896	
0.01000	750.48409	
0.01000	747.23673	
0.01000	731.26724	
0.01000	742.18920	
0.01000	778.90538	
0.01000	751.39101	
0.01000	762.25328	
0.01000	753.23489	
0.01000	758.97564	
0.01000	766.14626	
0.01000	770.77708	
0.01000	755.09099	
0.01000	787.74586	
0.01000	775.96006	
0.01000	776.07023	
0.01000	792.08041	
0.01000	769.84605	
0.01000	774.54311	
0.01000	750.93659	
0.01000	756.16679	
0.01000	782.26364	
0.01000	801.27242	
0.01000	829.69406	
0.01000	819.50586	
0.01000	858.39078	
0.01000	824.05302	
0.01000	826.81458	
0.01000	812.92731	
0.01000	805.42213	
0.01000	806.56925	
0.01000	774.84844	
0.01000	778.08708	
0.01000	776.07695	
0.01000	795.27736	
0.01000	816.75171	
0.01000	810.16907	
0.01000	823.11312	
0.01000	822.48600	
0.01000	809.24530	
0.01000	828.14182	
0.01000	831.53032	
0.01000	831.14208	
0.01000	850.42689	
0.01000	833.18925	
0.01000	818.07741	
0.01000	774.08166	
0.01000	777.98585	
0.01000	797.61656	
0.01000	801.24251	
0.01000	767.96137	
0.01000	754.10900	
0.01000	754.67504	
0.01000	760.72234	
0.01000	708.36928	
0.01000	723.26311	
0.01000	702.83755	
0.01000	698.11344	
0.01000	706.05994	
0.01000	732.31527	
0.01000	731.46325	
0.01000	730.84664	
0.01000	701.02364	
0.01000	711.78830	
0.01000	718.57604	
0.01000	694.96072	
0.01000	682.56042	
0.01000	693.97845	
0.01000	696.23327	
0.01000	690.50508	
0.01000	696.92722	
0.01000	697.79946	
0.01000	683.66877	
0.01000	636.82080	
0.01000	654.51913	
0.01000	679.53400	
0.01000	697.58469	
0.01000	694.94795	
0.01000	693.37153	
0.01000	698.40982	
0.01000	699.37492	
0.01000	701.80834	
0.01000	685.73252	
0.01000	666.81210	
0.01000	670.51937	
0.01000	680.33254	
0.01000	684.03379	
0.01000	657.08586	
0.01000	645.24191	
0.01000	660.74438	
0.01000	656.83748	
0.01000	693.78177	
0.01000	691.38396	
0.01000	670.91132	
0.01000	668.58140	
0.01000	662.54300	
0.01000	683.26443	
0.01000	670.66436	
0.01000	673.42847	
0.01000	687.58339	
0.01000	681.83220	
0.01000	671.64636	
0.01000	641.00568	
0.01000	660.67865	
0.01000	688.55827	
0.01000	682.85841	
0.01000	688.63857	
0.01000	688.85394	
0.01000	655.66203	
0.01000	666.97159	
0.01000	675.22430	
0.01000	653.10740	
0.01000	706.55001	
0.01000	674.70666	
0.01000	670.45017	
0.01000	692.80869	
0.01000	723.93113	
0.01000	751.79875	
0.01000	725.73587	
0.01000	731.20728	
0.01000	738.24473	
0.01000	718.79653	
0.01000	730.19618	
0.01000	732.18185	
0.01000	740.59159	
0.01000	719.63423	
0.01000	743.52471	
0.01000	774.82962	
0.01000	749.81732	
0.01000	768.49156	
0.01000	751.47932	
0.01000	724.71805	
0.01000	718.07228	
0.01000	717.34652	
0.01000	730.65744	
0.01000	774.55371	
0.01000	766.36757	
0.01000	733.81207	
0.01000	711.17130	
0.01000	696.08298	
0.01000	726.61778	
0.01000	699.35339	
0.01000	703.27691	
0.01000	695.87082	
0.01000	669.78304	
0.01000	653.05654	
0.01000	629.27342	
0.01000	618.94185	
0.01000	601.55351	
0.01000	632.92241	
0.01000	652.32991	
